Name,Area,Phone,Address,Verified,Status
Ibn Sina Dhanmondi,Dhanmondi,"10615, 09610010615","House #48, Road #9/A, Dhanmondi R/A, Dhaka-1209",Yes,checked
Popular Hospital,Dhanmondi,"09613-787801, 09666-787801","House #16, Road #2, Dhanmondi R/A, Dhaka-1209",Yes,checked
Labaid Dhanmondi,Dhanmondi,"10606, +88 02 58610793-8","House #06, Road #04, Dhanmondi, Dhaka-1205",Yes,checked
Mirpur General Hospital & Diagnostic Center,Mirpur,01610-964966,"Plot No-10, Road-4/5, Block-B, Section-12, Kalshi Road, Mirpur, Dhaka-1216",Yes,checked
Rayel Hospital,Mirpur,,"House #2, Road #7, Block-C, Section-6, Mirpur, Dhaka-1216",No,
"Islami Bank Hospital, Mirpur",Mirpur,"01992-346631,01992-346632,01844-610513","Plot #31, Block #D, Section #11, Main Road-03, Near Purobi Bus Stop, Begum Rokeya Sarani, Mirpur, Dhaka-1216",Yes,checked
"Global Specialized Hospital, Mirpur",Mirpur,"02-226624522, 02-58053699, 01715-818883","Almas Tower, 282/1, Mazar Road, Mirpur",Yes,checked
"Popular Diagnostic Center, Mirpur",Mirpur,09666-787807,"Unit 02, House #02, Block #A, Section #10, Mirpur",Yes,checked
Delta Hospital Ltd,Mirpur,01301-254924,"26/2, Darus Salam Road, Mirpur-1",Yes,checked
Selina General Hospital,Mirpur,"02-9007827, 02-9015821, 01715-818883","282/1, Mazar Road, 1st Colony, Mirpur-1",Yes,checked
MARKS Medical College & Hospital,Mirpur,,"A/3, Main Road, Section-14, Mirpur-1206",No,
Dhaka Dental College,Mirpur,"02-48037054, 02-9022367","Mirpur-14, Dhaka",Yes,checked
"Alok Hospital, Mirpur",Mirpur,"10672, 01915-448491, 01919-224895","House 1 & 3, Road 2, Block B, Mirpur-10",Yes,checked
National Heart Foundation Hospital & Research Institute,Mirpur,"09666-750075, 02-58054708-12","Plot #7/2, Section-2, Mirpur, Dhaka-1216",Yes,checked
National Institute of Kidney Diseases & Urology (NIKDU),Mirpur,"02-9134022, 02-91356909","Sher-E-Bangla Nagar, Dhaka-1207",Yes,checked
Uttara Adhunik Medical College Hospital,Uttara,"028932330, 028932343","House # 34, Road # 04, Sector # 09, Uttara, Dhaka",Yes,checked
Kuwait Bangladesh Friendship Government Hospital,Uttara,02-48958915,"319 Isha Kha Avenue, Sector # 06, Uttara, Dhaka-1231",Yes,checked
Lubana General Hospital,Uttara,"09613-774488, 01977-776778","9 Garibe Nawaz Avenue, Sector-13, Uttara, Dhaka-1230",Yes,checked
Uttara Crescent Hospital,Uttara,"01915-447600, 02-48952740","House-40, Rabindra Sarani, Sector-07, Uttara, Dhaka-1230",Yes,checked
Shin-Shin Japan Hospital,Uttara,"01896057993, 01929478565","17, 24 and 36 Garibe Nawaz Avenue, Sector-11, Uttara, Dhaka-1230",Yes,checked
Ibn Sina Diagnostic and Consultation Center,Uttara,"10615, 096100010615","House # 52, Garibe Nawaz Avenue, Sector # 13, Uttara, Dhaka-1230",Yes,checked
Hi-Care General Hospital,Uttara,"01778949055, 0194610210","House # 24 and 26, Lake Drive Road, Sector # 07, Uttara, Dhaka-1230",Yes,checked
Popular Diagnostic Centre,Uttara,"09613-787805, 09611-530530","House # 25, Jasimuddin Avenue, Sector # 04, Uttara, Dhaka-1230",Yes,checked
Labaid Diagnostic,Uttara,"01766662606, 01766661582","House # 15, Arman Plaza, Road-12, Sector-06, Uttara, Dhaka-1230",Yes,checked
RMC Hospital,Uttara,"0248952157, 01817049140","House # 19, Road # 05, Sector # 07, Uttara, Dhaka-1230",Yes,checked
United Hospital,Gulshan,"10666, 09666-710666","Plot # 15, Road # 71, Gulshan-2, Dhaka-1212",Yes,checked
Shahabuddin Medical College Hospital,Gulshan,"01915-055555, 02-9863387","House # 12, Road # 113/A, Gulshan-2, Dhaka-1212",Yes,checked
Labaid Diagnostic (Gulshan Branch),Gulshan,"01715-345N77, 01766-662525","House # 13/A, Road # 35, Gulshan-2, Dhaka-1212",Yes,checked
Popular Diagnostic Centre (Gulshan Branch),Gulshan,09613-787809,"Road # 32, Gulshan-1, Dhaka-1212",Yes,checked
Cure Medical Center and General Hospital,Gulshan,"02-9894776, 01752-151445","House # 5, Road # 16, Gulshan-1, Dhaka-1212",Yes,checked
Lake View Clinic,Gulshan,"01760-232959, 02-8814887","House # 5, Road # 79, Gulshan-2, Dhaka-1212",Yes,checked
Z. H. Sikder Women's Medical College Hospital,Gulshan,"09609004444, 01313752222","House # 5, Road # 104, Gulshan-2, Dhaka-1212",Yes,checked
Gulshan Medicare,Gulshan,02-9896213,"Lotus Kamal Tower, 59-61 Gulshan South Avenue, Dhaka-1212",Yes,checked
Senior Citizen Hospital,Gulshan,"01760-654890, 01724-972681","House # 8, Road # 8, Block # J, Baridhara (adjacent to Gulshan area), Dhaka",Yes,checked
Ibn Sina Diagnostic and Consultation Center (North Badda Branch - adjacent to Gulshan),Gulshan,"10615, 09610009614","Cha-72/1 and Cha-73/2, Progoti Sarani, North Badda (adjacent to Gulshan), Dhaka-1212",Yes,checked
