hospital_name,area,verified
Ibn Sina Dhanmondi,Dhanmondi,yes
Popular Hospital,Dhanmondi,yes
Labaid Dhanmondi,Dhanmondi,yes
Al-Helal Specialized Hospital,Mirpur,yes
Alok Hospital Mirpur,Mirpur,yes
Bangladesh Eye Hospital Mirpur,Mirpur,yes
Bangladesh Spine & Ortho Hospital Mirpur,Mirpur,yes
City Hospital Mirpur,Mirpur,yes
Delta Medical College Hospital Mirpur,Mirpur,yes
Islami Bank Hospital Mirpur,Mirpur,yes
Kidney Foundation Hospital Mirpur,Mirpur,yes
Mirpur General Hospital,Mirpur,yes
Sony Square Hospital Mirpur,Mirpur,yes
National Heart Foundation Hospital & Research Institute,Mirpur,yes
National Institute of Kidney Diseases & Urology,Mirpur,yes
